TaskID,Input1,Output1_1,Noise1_1,LST
12,0.37290803,0.3100431,0.33864364,0
12,0.4130996,0.07114703,0.42799163,0
12,0.45641997,-0.20217006,0.4187639,0
12,0.50390553,-0.5043422,0.43487585,0
12,0.5569936,-0.83273274,0.5502959,0
13,-0.7986824,0.94207054,1.0499125,0
13,-0.76492476,0.9041339,0.8836665,0
13,-0.73085225,0.86033887,0.7632664,0
13,-0.6964573,0.8224026,0.6459422,0
13,-0.6617515,0.7827088,0.67567605,0
13,-0.62669533,0.73686296,0.66864544,0
13,-0.5912916,0.6998055,0.7194712,0
13,-0.555601,0.66919285,0.6695242,0
13,-0.51962507,0.63330704,0.907395,0
13,-0.48336264,0.6035732,0.9665697,0
14,-0.69726837,1.4608747,1.0957582,0
14,-0.6668002,1.261087,0.8319618,0
14,-0.6351125,1.0961591,0.6623471,0
14,-0.60239464,0.9738548,0.5951164,0
14,-0.56872207,0.8452522,0.5853027,0
14,-0.53396577,0.7062503,0.54839176,0
14,-0.4979376,0.5520151,0.5798833,0
14,-0.46063542,0.4327866,0.62089545,0
14,-0.42217073,0.3180991,0.7080464,0
14,-0.38253364,0.21073498,0.8867425,0
14,-0.34168077,0.10132027,0.98546463,0
14,-0.29961115,0.0065527605,1.0118297,0
14,-0.25646517,-0.06990572,0.8715093,0
14,-0.212678,-0.09114414,0.98912644,0
15,-0.967428,-0.11516556,0.40221253,0
15,-0.92176354,-0.27101192,0.32062754,0
15,-0.8739222,-0.4034229,0.32165283,0
15,-0.8240153,-0.52133304,0.24695206,0
15,-0.77169836,-0.6707346,0.22791068,0
15,-0.7171658,-0.74484944,0.20052038,0
15,-0.66126055,-0.8010947,0.20374277,0
15,-0.6046269,-0.8109083,0.22908245,0
15,-0.5482966,-0.77326506,0.21985471,0
15,-0.49277303,-0.73884404,0.20242451,0
15,-0.43861786,-0.6408541,0.19861625,0
15,-0.3866535,-0.51591337,0.1993486,0
15,-0.3373855,-0.3375104,0.19378266,0
15,-0.29076836,-0.19045225,0.2172182,0
15,-0.24642953,-0.02318107,0.20725809,0
15,-0.20438385,0.15990913,0.22175884,0
15,-0.16432153,0.30857828,0.23259778,0
15,-0.12595579,0.47365245,0.24651264,0
15,-0.08917123,0.6251046,0.27873653,0
15,-0.053523798,0.7157709,0.24578029,0
15,-0.018810876,0.83954006,0.26057398,0
15,0.015152775,0.89139086,0.26994818,0
15,0.048724238,0.93460035,0.32004166,0
15,0.08197876,0.96931416,0.26745817,0
15,0.11512528,0.95847535,0.28752482,0
15,0.14837441,0.93987316,0.26877642,0
15,0.1818671,0.8927091,0.29191902,0
15,0.2158149,0.82269543,0.24519439,0
15,0.25041655,0.7311503,0.26379636,0
15,0.2858581,0.6248118,0.26496813,0
15,0.32231748,0.5036791,0.27697885,0
15,0.35992855,0.38283977,0.3083239,0
15,0.39875832,0.26331842,0.36251858,0
15,0.43888497,0.1433577,0.37731227,0
15,0.4804741,0.01153276,0.4057279,0
15,0.5238202,-0.1383082,0.4471795,0
15,0.56905854,-0.26515314,0.4650491,0
15,0.6160618,-0.37632546,0.5280321,0
15,0.66486937,-0.49086678,0.5645037,0
15,0.7155644,-0.5950085,0.6711354,0
16,-1.8173027,1.1269183,0.22307709,0
16,-1.7844454,0.94573236,0.18748437,0
16,-1.7503511,0.80673,0.15760404,0
16,-1.7151551,0.67915285,0.12933491,0
16,-1.6789067,0.5672479,0.112344146,0
16,-1.6416206,0.4560756,0.09696457,0
16,-1.6031388,0.32527608,0.08685799,0
16,-1.5633473,0.20839137,0.079973795,0
16,-1.5222977,0.102052666,0.06576599,0
16,-1.4800093,0.0014261457,0.07557963,0
16,-1.4365257,-0.086310536,0.0730896,0
16,-1.3918756,-0.17287563,0.07631199,0
16,-1.3460481,-0.2531423,0.077776715,0
16,-1.2990874,-0.3256462,0.07279666,0
16,-1.2509874,-0.39961445,0.06561953,0
16,-1.2018332,-0.45468813,0.077630244,0
16,-1.1518096,-0.5025846,0.08231735,0
16,-1.1010371,-0.54066724,0.07689788,0
16,-1.0497142,-0.56439567,0.08685799,0
16,-0.9980554,-0.57831067,0.10970764,0
16,-0.9461969,-0.58724546,0.1325573,0
16,-0.894135,-0.6017461,0.15379576,0
16,-0.84173393,-0.6248887,0.21428877,0
16,-0.7889331,-0.64466256,0.23625958,0
16,-0.73579097,-0.66121376,0.31579396,0
16,-0.6822937,-0.68230575,0.3830247,0
17,-1.1701224,1.0684757,0.7925608,0
17,-1.1378391,1.1742285,0.73895204,0
17,-1.1062615,1.264016,0.5192438,0
17,-1.0750625,1.2793959,0.42667338,0
17,-1.0439796,1.2953613,0.38829768,0
17,-1.0129666,1.2968261,0.302465,0
17,-0.9819325,1.2856941,0.27346352,0
17,-0.9508441,1.2777845,0.22761773,0
