TaskID,Input1,Output1_1,Output1_2
8,0.9098039,83.10411,38.850193
8,0.9254902,85.86784,40.057648
8,0.9411765,88.68882,41.302353
8,0.95686275,91.5298,42.55098
8,0.972549,94.395096,43.801765
8,0.9882353,97.24176,45.041176
9,0.0,21.28,66.86
9,0.015686275,21.561176,66.16353
9,0.03137255,21.84647,65.47706
9,0.047058824,22.12353,64.82059
9,0.0627451,22.38647,64.18235
9,0.078431375,22.635883,63.598236
9,0.09411765,22.87706,63.03588
9,0.10980392,23.118237,62.48353
9,0.1254902,23.369411,61.924706
9,0.14117648,23.650589,61.271763
9,0.15686275,23.952353,60.535294
9,0.17254902,24.280588,59.76353
9,0.1882353,24.65353,58.91294
9,0.20392157,25.03706,58.04235
9,0.21960784,25.395294,57.240585
9,0.23529412,25.74353,56.467056
9,0.2509804,26.081766,55.70647
9,0.26666668,26.41,54.98
9,0.28235295,26.738235,54.25353
9,0.29803923,27.05647,53.48294
9,0.3137255,27.374706,52.60706
9,0.32941177,27.692942,51.61941
9,0.34509805,27.991177,50.531178
9,0.36078432,28.27706,49.327057
9,0.3764706,28.528236,48.068233
9,0.39215687,28.722942,46.81941
9,0.40784314,28.87706,45.550587
9,0.42352942,28.991177,44.241173
9,0.4392157,29.077648,42.897644
9,0.45490196,29.134706,41.524704
9,0.47058824,29.17,40.13
9,0.4862745,29.17,38.728825
9,0.5019608,29.15,37.33588
9,0.5176471,29.1,35.94294
9,0.53333336,29.039999,34.57
9,0.54901963,28.952942,33.207058
9,0.5647059,28.831764,31.878233
9,0.5803922,28.687647,30.57235
9,0.59607846,28.513529,29.266468
9,0.6117647,28.319412,27.980587
9,0.627451,28.092941,26.737059
9,0.6431373,27.831764,25.528234
9,0.65882355,27.530588,24.375881
9,0.6745098,27.185883,23.284117
9,0.6901961,26.807058,22.223528
9,0.7058824,26.381763,21.225882
9,0.72156864,25.91647,20.268234
9,0.7372549,25.41941,19.342352
9,0.7529412,24.887058,18.461763
9,0.76862746,24.334705,17.591175
9,0.78431374,23.73941,16.730587
9,0.8,23.1,15.88
9,0.8156863,22.406471,15.029411
9,0.83137256,21.672941,14.188823
9,0.84705883,20.879412,13.359411
9,0.8627451,20.055882,12.545881
9,0.8784314,19.207058,11.772351
9,0.89411765,18.306469,11.018822
9,0.9098039,17.307056,10.235292
9,0.9254902,16.215881,9.451763
9,0.9411765,15.007058,8.634706
9,0.95686275,13.701177,7.7941175
9,0.972549,12.299999,6.9135294
9,0.9882353,10.785294,5.9882345
10,0.0,20.65,66.81
10,0.015686275,20.828823,66.382355
10,0.03137255,21.03647,65.90706
10,0.047058824,21.254705,65.39059
10,0.0627451,21.49294,64.81647
10,0.078431375,21.758236,64.15353
10,0.09411765,22.065882,63.411766
10,0.10980392,22.433529,62.541176
10,0.1254902,22.836472,61.60706
10,0.14117648,23.23353,60.68294
10,0.15686275,23.640589,59.774704
10,0.17254902,24.044117,58.904705
10,0.1882353,24.441765,58.053528
10,0.20392157,24.839413,57.18647
10,0.21960784,25.21706,56.302353
10,0.23529412,25.605883,55.398235
10,0.2509804,26.032352,54.454117
10,0.26666668,26.480001,53.43
10,0.28235295,26.987059,52.188824
10,0.29803923,27.522942,50.77882
10,0.3137255,28.021177,49.28
10,0.32941177,28.480589,47.654705
10,0.34509805,28.794117,45.94588
10,0.36078432,28.92,44.200584
10,0.3764706,28.92,42.46235
10,0.39215687,28.864706,40.73941
10,0.40784314,28.755295,39.05529
10,0.42352942,28.601765,37.489998
10,0.4392157,28.422941,36.023525
10,0.45490196,28.274117,34.66882
10,0.47058824,28.145294,33.447056
10,0.4862745,28.008236,32.23529
10,0.5019608,27.847647,31.014704
10,0.5176471,27.668823,29.872938
10,0.53333336,27.48,28.819998
10,0.54901963,27.291176,27.846468
10,0.5647059,27.131176,26.990587
10,0.5803922,26.983528,26.224117
10,0.59607846,26.842352,25.58647
10,0.6117647,26.71294,25.094706
10,0.627451,26.61353,24.700588
10,0.6431373,26.544117,24.402353
10,0.65882355,26.494705,24.16941
10,0.6745098,26.45,23.980589
10,0.6901961,26.4,23.815882
10,0.7058824,26.33647,23.646471
10,0.72156864,26.27,23.454117
10,0.7372549,26.21,23.170588
10,0.7529412,26.148235,22.801176
10,0.76862746,26.027647,22.291765
10,0.78431374,25.828236,21.645294
10,0.8,25.56,20.87
10,0.8156863,25.222353,19.917059
10,0.83137256,24.815882,18.854118
10,0.84705883,24.330587,17.72294
10,0.8627451,23.72647,16.512941
10,0.8784314,22.92941,15.224117
10,0.89411765,21.958822,13.8929405
10,0.9098039,20.893528,12.567646
10,0.9254902,19.700588,11.230588
10,0.9411765,18.3,9.909411
10,0.95686275,16.637646,8.602352
10,0.972549,14.805881,7.320587
10,0.9882353,12.885293,6.0558815
11,0.0,99.7,51.45
11,0.015686275,99.24333,51.25
11,0.03137255,98.746666,51.043335
11,0.047058824,98.16,50.81
11,0.0627451,97.49333,50.53
11,0.078431375,96.73,50.193333
11,0.09411765,95.920006,49.83
11,0.10980392,95.043335,49.45667
11,0.1254902,94.083336,49.04667
11,0.14117648,93.08,48.61
11,0.15686275,92.11,48.163334
11,0.17254902,91.15,47.72667
11,0.1882353,90.19,47.3
11,0.20392157,89.21,46.863335
11,0.21960784,88.24333,46.426666
11,0.23529412,87.26,45.980003
11,0.2509804,86.23667,45.510002
11,0.26666668,85.19667,45.03
11,0.28235295,84.13,44.53
11,0.29803923,83.020004,43.996666
11,0.3137255,81.87334,43.463333
11,0.32941177,80.71,42.93
11,0.34509805,79.50667,42.386665
11,0.36078432,78.30667,41.853333
11,0.3764706,77.12,41.36
11,0.39215687,75.94667,40.91
11,0.40784314,74.74333,40.486668
11,0.42352942,73.49,40.079998
11,0.4392157,72.24333,39.696667
11,0.45490196,71.01667,39.36667
11,0.47058824,69.8,39.08
11,0.4862745,68.54,38.833332
11,0.5019608,67.25,38.623333
11,0.5176471,66.0,38.46
11,0.53333336,64.80667,38.34667
11,0.54901963,63.633335,38.293335
11,0.5647059,62.449997,38.3
11,0.5803922,61.27667,38.366665
11,0.59607846,60.15667,38.5
11,0.6117647,59.08,38.72
11,0.627451,57.98,39.02
11,0.6431373,56.85,39.413334
11,0.65882355,55.74,39.89
11,0.6745098,54.653336,40.446667
11,0.6901961,53.54,41.06
11,0.7058824,52.37,41.72
11,0.72156864,51.13,42.44
11,0.7372549,49.850002,43.23
11,0.7529412,48.52,44.06
11,0.76862746,47.15333,44.893333
11,0.78431374,45.73,45.746666
11,0.8,44.270004,46.66
11,0.8156863,42.79,47.666664
11,0.83137256,41.31333,48.74
11,0.84705883,39.85,49.870003
11,0.8627451,38.36667,51.1
11,0.8784314,36.890003,52.443333
11,0.89411765,35.44,53.9
11,0.9098039,34.04333,55.460003
11,0.9254902,32.693333,57.113335
11,0.9411765,31.370003,58.879997
11,0.95686275,30.056667,60.76
11,0.972549,28.743332,62.75
11,0.9882353,27.419998,64.87
12,0.0,21.37,66.61
12,0.015686275,21.777843,65.65235
12,0.03137255,22.195686,64.704704
12,0.047058824,22.619411,63.74706
12,0.0627451,23.051373,62.79941
12,0.078431375,23.489216,61.831764
12,0.09411765,23.958822,60.78059
12,0.10980392,24.478626,59.605297
12,0.1254902,25.00843,58.371765
12,0.14117648,25.508234,57.205883
12,0.15686275,25.99804,56.064312
12,0.17254902,26.467842,54.974316
12,0.1882353,26.884117,54.011765
12,0.20392157,27.236471,53.186077
12,0.21960784,27.532352,52.475296
12,0.23529412,27.778234,51.882942
12,0.2509804,27.952745,51.43451
12,0.26666668,28.093334,51.08
12,0.28235295,28.205294,50.794117
12,0.29803923,28.28,50.602745
