TaskID,Input1,Output1_1,Output1_2
785,0.2519685,0.67870915,0.4604325
785,0.25984251,0.6823546,0.46194807
785,0.26771653,0.6859605,0.46339205
785,0.27559054,0.689684,0.46491182
785,0.28346458,0.6934643,0.46655685
785,0.2913386,0.69724816,0.4680998
785,0.2992126,0.7009339,0.46966255
785,0.30708662,0.7046071,0.4712415
785,0.31496063,0.7081626,0.47279173
785,0.32283464,0.7115753,0.4743037
785,0.33070865,0.7149204,0.4758602
785,0.33858266,0.7182482,0.47738126
785,0.3464567,0.7215783,0.4788944
785,0.35433072,0.7249604,0.48054448
785,0.36220473,0.7283521,0.48225835
785,0.37007874,0.73174584,0.48399094
785,0.37795275,0.7351742,0.4857496
785,0.38582677,0.7386793,0.48756698
785,0.39370078,0.74206,0.48926666
785,0.4015748,0.7455066,0.49108523
785,0.40944883,0.7489193,0.49303094
785,0.41732284,0.75226486,0.4948129
785,0.42519686,0.7556586,0.49671876
785,0.43307087,0.75901616,0.49857438
785,0.44094488,0.76236486,0.5005145
785,0.4488189,0.76579845,0.5024339
785,0.4566929,0.7690973,0.50437105
785,0.46456692,0.7725353,0.5063582
785,0.47244096,0.7759139,0.5083646
785,0.48031497,0.7793555,0.510295
785,0.48818898,0.782765,0.5123244
785,0.496063,0.78613675,0.5143931
785,0.503937,0.7895596,0.5164626
785,0.511811,0.7929022,0.5184585
785,0.51968503,0.79631174,0.520521
785,0.52755904,0.79969066,0.5225827
785,0.53543305,0.80305684,0.5246827
785,0.54330707,0.8064392,0.5267618
785,0.5511811,0.80980605,0.52882236
785,0.5590551,0.81316155,0.53086156
785,0.56692916,0.816421,0.5329479
785,0.5748032,0.81980693,0.5350252
785,0.5826772,0.82311463,0.5371514
785,0.5905512,0.82646155,0.5391505
785,0.5984252,0.8297299,0.541273
785,0.6062992,0.83304286,0.54337645
785,0.61417323,0.83641905,0.54546064
785,0.62204725,0.8397737,0.54754275
785,0.62992126,0.8430557,0.54970783
785,0.63779527,0.84642625,0.5518031
785,0.6456693,0.8496974,0.5539728
785,0.6535433,0.8530206,0.5561216
785,0.6614173,0.8563443,0.55825
785,0.6692913,0.8596457,0.56035686
785,0.6771653,0.86301774,0.5624785
785,0.68503934,0.8663595,0.5646559
